real rot, expected dict rot, actual dict rot, error from real rot, error from expected rot
0.1, 0.1, 0.1, 0.0%, 0.0%
0.2, 0.2, 0.2, 0.0%, 0.0%
0.3, 0.3, 0.2, 33.333%, 33.333%
0.4, 0.4, 0.3, 25.0%, 25.0%
0.5, 0.5, 0.4, 20.0%, 20.0%
0.6, 0.6, 0.5, 16.667%, 16.667%
0.7, 0.7, 0.6, 14.286%, 14.286%
0.8, 0.8, 0.7, 12.5%, 12.5%
0.9, 0.9, 0.8, 11.111%, 11.111%
1.0, 1.0, 0.8, 20.0%, 20.0%
1.1, 1.1, 1.0, 9.091%, 9.091%
1.2, 1.2, 1.0, 16.667%, 16.667%
1.3, 1.3, 1.1, 15.385%, 15.385%
1.4, 1.4, 1.2, 14.286%, 14.286%
1.5, 1.5, 1.2, 20.0%, 20.0%
1.6, 1.6, 1.4, 12.5%, 12.5%
1.7, 1.7, 1.4, 17.647%, 17.647%
1.8, 1.8, 1.5, 16.667%, 16.667%
1.9, 1.9, 1.6, 15.789%, 15.789%
2.0, 2.0, 1.7, 15.0%, 15.0%
2.1, 2.1, 1.8, 14.286%, 14.286%
2.2, 2.2, 1.9, 13.636%, 13.636%
2.3, 2.3, 1.9, 17.391%, 17.391%
2.4, 2.4, 2.1, 12.5%, 12.5%
2.5, 2.5, 2.1, 16.0%, 16.0%
2.6, 2.6, 2.2, 15.385%, 15.385%
2.7, 2.7, 2.3, 14.815%, 14.815%
2.8, 2.8, 2.3, 17.857%, 17.857%
2.9, 2.9, 2.5, 13.793%, 13.793%
3.0, 3.0, 2.5, 16.667%, 16.667%
3.1, 3.1, 2.6, 16.129%, 16.129%
3.2, 3.2, 2.7, 15.625%, 15.625%
3.3, 3.3, 2.8, 15.152%, 15.152%
3.4, 3.4, 2.9, 14.706%, 14.706%
3.5, 3.5, 2.9, 17.143%, 17.143%
3.6, 3.6, 3.0, 16.667%, 16.667%
3.7, 3.7, 3.1, 16.216%, 16.216%
3.8, 3.8, 3.2, 15.789%, 15.789%
3.9, 3.9, 3.3, 15.385%, 15.385%
4.0, 4.0, 3.4, 15.0%, 15.0%
4.1, 4.1, 3.5, 14.634%, 14.634%
4.2, 4.2, 3.5, 16.667%, 16.667%
4.3, 4.3, 3.6, 16.279%, 16.279%
4.4, 4.4, 3.6, 18.182%, 18.182%
4.5, 4.5, 3.8, 15.556%, 15.556%
4.6, 4.6, 3.8, 17.391%, 17.391%
4.7, 4.7, 3.9, 17.021%, 17.021%
4.8, 4.8, 3.8, 20.833%, 20.833%
4.9, 4.9, 3.9, 20.408%, 20.408%
5.0, 5.0, 4.4, 12.0%, 12.0%
Average error from real rotations: 15.701%
Average error from expected rotations: 15.701%
