real rot, expected dict rot, actual dict rot, error from real rot, error from expected rot
0.1, 0.1, 0.1, 0.0%, 0.0%
0.2, 0.2, 0.1, 50.0%, 50.0%
0.3, 0.3, 0.1, 66.667%, 66.667%
0.4, 0.4, 0.1, 75.0%, 75.0%
0.5, 0.5, 0.1, 80.0%, 80.0%
0.6, 0.6, 0.1, 83.333%, 83.333%
0.7, 0.7, 0.1, 85.714%, 85.714%
0.8, 0.8, 0.1, 87.5%, 87.5%
0.9, 0.9, 0.1, 88.889%, 88.889%
1.0, 1.0, 0.1, 90.0%, 90.0%
1.1, 1.1, 0.1, 90.909%, 90.909%
1.2, 1.2, 0.1, 91.667%, 91.667%
1.3, 1.3, 0.1, 92.308%, 92.308%
1.4, 1.4, 0.1, 92.857%, 92.857%
1.5, 1.5, 0.1, 93.333%, 93.333%
1.6, 1.6, 0.1, 93.75%, 93.75%
1.7, 1.7, 0.1, 94.118%, 94.118%
1.8, 1.8, 0.1, 94.444%, 94.444%
1.9, 1.9, 0.1, 94.737%, 94.737%
2.0, 2.0, 0.1, 95.0%, 95.0%
2.1, 2.1, 0.1, 95.238%, 95.238%
2.2, 2.2, 0.1, 95.455%, 95.455%
2.3, 2.3, 0.1, 95.652%, 95.652%
2.4, 2.4, 0.1, 95.833%, 95.833%
2.5, 2.5, 0.1, 96.0%, 96.0%
2.6, 2.6, 0.1, 96.154%, 96.154%
2.7, 2.7, 0.1, 96.296%, 96.296%
2.8, 2.8, 0.1, 96.429%, 96.429%
2.9, 2.9, 0.1, 96.552%, 96.552%
3.0, 3.0, 0.1, 96.667%, 96.667%
3.1, 3.1, 0.1, 96.774%, 96.774%
3.2, 3.2, 0.1, 96.875%, 96.875%
3.3, 3.3, 0.1, 96.97%, 96.97%
3.4, 3.4, 0.1, 97.059%, 97.059%
3.5, 3.5, 0.1, 97.143%, 97.143%
3.6, 3.6, 0.1, 97.222%, 97.222%
3.7, 3.7, 0.1, 97.297%, 97.297%
3.8, 3.8, 0.1, 97.368%, 97.368%
3.9, 3.9, 0.1, 97.436%, 97.436%
4.0, 4.0, 0.1, 97.5%, 97.5%
4.1, 4.1, 0.1, 97.561%, 97.561%
4.2, 4.2, 0.1, 97.619%, 97.619%
4.3, 4.3, 0.1, 97.674%, 97.674%
4.4, 4.4, 0.1, 97.727%, 97.727%
4.5, 4.5, 0.1, 97.778%, 97.778%
4.6, 4.6, 0.1, 97.826%, 97.826%
4.7, 4.7, 0.1, 97.872%, 97.872%
4.8, 4.8, 0.1, 97.917%, 97.917%
4.9, 4.9, 0.1, 97.959%, 97.959%
5.0, 5.0, 0.1, 98.0%, 98.0%
Average error from real rotations: 91.002%
Average error from expected rotations: 91.002%
