real rot, expected dict rot, actual dict rot, error from real rot, error from expected rot
1.839, 1.8, 0.9, 51.06%, 50.0%
1.945, 1.9, 1.1, 43.445%, 42.105%
1.144, 1.1, 0.6, 47.552%, 45.455%
0.953, 1.0, 0.6, 37.041%, 40.0%
0.922, 0.9, 0.9, 2.386%, 0.0%
1.227, 1.2, 1.1, 10.35%, 8.333%
1.073, 1.1, 1.0, 6.803%, 9.091%
1.254, 1.3, 0.7, 44.179%, 46.154%
0.925, 0.9, 1.0, 8.108%, 11.111%
0.859, 0.9, 1.0, 16.414%, 11.111%
1.188, 1.2, 0.8, 32.66%, 33.333%
1.084, 1.1, 0.9, 16.974%, 18.182%
1.23, 1.2, 0.7, 43.089%, 41.667%
1.318, 1.3, 0.9, 31.715%, 30.769%
1.178, 1.2, 1.4, 18.846%, 16.667%
1.091, 1.1, 0.9, 17.507%, 18.182%
1.047, 1.0, 0.6, 42.693%, 40.0%
0.98, 1.0, 0.9, 8.163%, 10.0%
1.144, 1.1, 0.6, 47.552%, 45.455%
1.057, 1.1, 0.9, 14.853%, 18.182%
1.0, 1.0, 0.9, 10.0%, 10.0%
0.993, 1.0, 0.6, 39.577%, 40.0%
1.013, 1.0, 0.9, 11.155%, 10.0%
0.913, 0.9, 0.6, 34.283%, 33.333%
1.148, 1.1, 0.9, 21.603%, 18.182%
0.964, 1.0, 0.7, 27.386%, 30.0%
0.969, 1.0, 1.1, 13.519%, 10.0%
0.832, 0.8, 0.6, 27.885%, 25.0%
1.056, 1.1, 1.1, 4.167%, 0.0%
1.154, 1.2, 0.6, 48.007%, 50.0%
1.051, 1.1, 1.0, 4.853%, 9.091%
0.775, 0.8, 0.6, 22.581%, 25.0%
0.91, 0.9, 0.9, 1.099%, 0.0%
1.101, 1.1, 0.6, 45.504%, 45.455%
1.331, 1.3, 0.9, 32.382%, 30.769%
1.062, 1.1, 0.9, 15.254%, 18.182%
0.954, 1.0, 0.9, 5.66%, 10.0%
0.831, 0.8, 0.6, 27.798%, 25.0%
0.889, 0.9, 0.6, 32.508%, 33.333%
1.007, 1.0, 1.1, 9.235%, 10.0%
1.153, 1.2, 0.6, 47.962%, 50.0%
1.185, 1.2, 1.1, 7.173%, 8.333%
1.034, 1.0, 0.9, 12.959%, 10.0%
0.955, 1.0, 0.9, 5.759%, 10.0%
0.937, 0.9, 0.6, 35.966%, 33.333%
1.048, 1.0, 0.6, 42.748%, 40.0%
0.98, 1.0, 0.9, 8.163%, 10.0%
1.218, 1.2, 0.6, 50.739%, 50.0%
0.952, 1.0, 0.9, 5.462%, 10.0%
0.968, 1.0, 0.9, 7.025%, 10.0%
0.941, 0.9, 0.6, 36.238%, 33.333%
0.976, 1.0, 0.9, 7.787%, 10.0%
1.062, 1.1, 0.6, 43.503%, 45.455%
1.255, 1.3, 0.9, 28.287%, 30.769%
1.191, 1.2, 0.6, 49.622%, 50.0%
1.099, 1.1, 1.3, 18.289%, 18.182%
1.144, 1.1, 0.9, 21.329%, 18.182%
1.099, 1.1, 0.6, 45.405%, 45.455%
0.778, 0.8, 0.9, 15.681%, 12.5%
1.108, 1.1, 0.7, 36.823%, 36.364%
1.038, 1.0, 0.9, 13.295%, 10.0%
1.127, 1.1, 1.0, 11.269%, 9.091%
0.934, 0.9, 0.7, 25.054%, 22.222%
1.201, 1.2, 0.7, 41.715%, 41.667%
1.183, 1.2, 0.9, 23.922%, 25.0%
0.853, 0.9, 0.9, 5.51%, 0.0%
Average error from real rotations: 24.599%
Average error from expected rotations: 24.379%
