real rot, expected dict rot, actual dict rot, error from real rot, error from expected rot
0.1, 0.1, 1.7, 1600.0%, 1600.0%
0.2, 0.2, 1.7, 750.0%, 750.0%
0.3, 0.3, 1.7, 466.667%, 466.667%
0.4, 0.4, 1.7, 325.0%, 325.0%
0.5, 0.5, 1.7, 240.0%, 240.0%
0.6, 0.6, 1.7, 183.333%, 183.333%
0.7, 0.7, 1.4, 100.0%, 100.0%
0.8, 0.8, 1.4, 75.0%, 75.0%
0.9, 0.9, 1.7, 88.889%, 88.889%
1.0, 1.0, 1.7, 70.0%, 70.0%
1.1, 1.1, 1.7, 54.545%, 54.545%
1.2, 1.2, 1.7, 41.667%, 41.667%
1.3, 1.3, 1.7, 30.769%, 30.769%
1.4, 1.4, 1.7, 21.429%, 21.429%
1.5, 1.5, 1.7, 13.333%, 13.333%
1.6, 1.6, 1.7, 6.25%, 6.25%
1.7, 1.7, 1.7, 0.0%, 0.0%
1.8, 1.8, 1.7, 5.556%, 5.556%
1.9, 1.9, 1.7, 10.526%, 10.526%
2.0, 2.0, 1.7, 15.0%, 15.0%
2.1, 2.1, 1.7, 19.048%, 19.048%
2.2, 2.2, 1.7, 22.727%, 22.727%
2.3, 2.3, 1.7, 26.087%, 26.087%
2.4, 2.4, 1.7, 29.167%, 29.167%
2.5, 2.5, 1.7, 32.0%, 32.0%
2.6, 2.6, 1.7, 34.615%, 34.615%
2.7, 2.7, 1.7, 37.037%, 37.037%
2.8, 2.8, 1.7, 39.286%, 39.286%
2.9, 2.9, 1.7, 41.379%, 41.379%
3.0, 3.0, 1.7, 43.333%, 43.333%
3.1, 3.1, 1.7, 45.161%, 45.161%
3.2, 3.2, 1.7, 46.875%, 46.875%
3.3, 3.3, 1.7, 48.485%, 48.485%
3.4, 3.4, 1.7, 50.0%, 50.0%
3.5, 3.5, 1.7, 51.429%, 51.429%
3.6, 3.6, 1.7, 52.778%, 52.778%
3.7, 3.7, 1.7, 54.054%, 54.054%
3.8, 3.8, 1.7, 55.263%, 55.263%
3.9, 3.9, 1.7, 56.41%, 56.41%
4.0, 4.0, 1.7, 57.5%, 57.5%
4.1, 4.1, 1.7, 58.537%, 58.537%
4.2, 4.2, 1.7, 59.524%, 59.524%
4.3, 4.3, 1.7, 60.465%, 60.465%
4.4, 4.4, 1.7, 61.364%, 61.364%
4.5, 4.5, 1.7, 62.222%, 62.222%
4.6, 4.6, 1.7, 63.043%, 63.043%
4.7, 4.7, 1.7, 63.83%, 63.83%
4.8, 4.8, 1.7, 64.583%, 64.583%
4.9, 4.9, 1.7, 65.306%, 65.306%
5.0, 5.0, 1.7, 66.0%, 66.0%
Average error from real rotations: 111.309%
Average error from expected rotations: 111.309%
