real rot, expected dict rot, actual dict rot, error from real rot, error from expected rot
0.1, 0.1, 1.0, 900.0%, 900.0%
0.2, 0.2, 0.7, 250.0%, 250.0%
0.3, 0.3, 1.1, 266.667%, 266.667%
0.4, 0.4, 1.1, 175.0%, 175.0%
0.5, 0.5, 1.1, 120.0%, 120.0%
0.6, 0.6, 1.1, 83.333%, 83.333%
0.7, 0.7, 2.2, 214.286%, 214.286%
0.8, 0.8, 2.2, 175.0%, 175.0%
0.9, 0.9, 2.2, 144.444%, 144.444%
1.0, 1.0, 3.6, 260.0%, 260.0%
1.1, 1.1, 3.6, 227.273%, 227.273%
1.2, 1.2, 3.6, 200.0%, 200.0%
1.3, 1.3, 4.0, 207.692%, 207.692%
1.4, 1.4, 4.7, 235.714%, 235.714%
1.5, 1.5, 4.7, 213.333%, 213.333%
1.6, 1.6, 4.7, 193.75%, 193.75%
1.7, 1.7, 4.7, 176.471%, 176.471%
1.8, 1.8, 4.7, 161.111%, 161.111%
1.9, 1.9, 4.7, 147.368%, 147.368%
2.0, 2.0, 4.7, 135.0%, 135.0%
2.1, 2.1, 4.7, 123.81%, 123.81%
2.2, 2.2, 4.7, 113.636%, 113.636%
2.3, 2.3, 4.7, 104.348%, 104.348%
2.4, 2.4, 4.7, 95.833%, 95.833%
2.5, 2.5, 4.7, 88.0%, 88.0%
2.6, 2.6, 4.7, 80.769%, 80.769%
2.7, 2.7, 4.7, 74.074%, 74.074%
2.8, 2.8, 4.7, 67.857%, 67.857%
2.9, 2.9, 4.7, 62.069%, 62.069%
3.0, 3.0, 4.7, 56.667%, 56.667%
3.1, 3.1, 4.7, 51.613%, 51.613%
3.2, 3.2, 4.7, 46.875%, 46.875%
3.3, 3.3, 4.7, 42.424%, 42.424%
3.4, 3.4, 5.0, 47.059%, 47.059%
3.5, 3.5, 4.7, 34.286%, 34.286%
3.6, 3.6, 4.7, 30.556%, 30.556%
3.7, 3.7, 5.0, 35.135%, 35.135%
3.8, 3.8, 4.7, 23.684%, 23.684%
3.9, 3.9, 5.0, 28.205%, 28.205%
4.0, 4.0, 5.0, 25.0%, 25.0%
4.1, 4.1, 5.0, 21.951%, 21.951%
4.2, 4.2, 4.7, 11.905%, 11.905%
4.3, 4.3, 5.0, 16.279%, 16.279%
4.4, 4.4, 5.0, 13.636%, 13.636%
4.5, 4.5, 5.0, 11.111%, 11.111%
4.6, 4.6, 5.0, 8.696%, 8.696%
4.7, 4.7, 5.0, 6.383%, 6.383%
4.8, 4.8, 4.7, 2.083%, 2.083%
4.9, 4.9, 4.7, 4.082%, 4.082%
5.0, 5.0, 4.7, 6.0%, 6.0%
Average error from real rotations: 116.409%
Average error from expected rotations: 116.409%
