real rot, expected dict rot, actual dict rot, error from real rot, error from expected rot
1.576, 1.6, 0.6, 61.929%, 62.5%
1.931, 1.9, 0.6, 68.928%, 68.421%
0.934, 0.9, 0.6, 35.76%, 33.333%
1.099, 1.1, 0.6, 45.405%, 45.455%
1.341, 1.3, 0.6, 55.257%, 53.846%
1.003, 1.0, 0.6, 40.179%, 40.0%
1.061, 1.1, 0.6, 43.45%, 45.455%
1.045, 1.0, 0.6, 42.584%, 40.0%
0.844, 0.8, 0.6, 28.91%, 25.0%
1.224, 1.2, 0.6, 50.98%, 50.0%
1.118, 1.1, 0.6, 46.333%, 45.455%
1.195, 1.2, 0.6, 49.791%, 50.0%
1.078, 1.1, 0.6, 44.341%, 45.455%
1.403, 1.4, 0.6, 57.234%, 57.143%
1.064, 1.1, 0.6, 43.609%, 45.455%
0.989, 1.0, 1.0, 1.112%, 0.0%
1.295, 1.3, 0.6, 53.668%, 53.846%
1.197, 1.2, 0.6, 49.875%, 50.0%
Average error from real rotations: 45.519%
Average error from expected rotations: 45.076%
