real rot, expected dict rot, actual dict rot, error from real rot, error from expected rot
1.839, 1.839, 1.839, 0.0%, 0.0%
1.144, 1.144, 1.144, 0.0%, 0.0%
0.922, 0.922, 0.922, 0.0%, 0.0%
1.073, 1.073, 1.073, 0.0%, 0.0%
0.925, 0.925, 0.925, 0.0%, 0.0%
1.188, 1.188, 1.188, 0.0%, 0.0%
1.23, 1.23, 1.23, 0.0%, 0.0%
1.178, 1.178, 1.178, 0.0%, 0.0%
1.047, 1.047, 1.047, 0.0%, 0.0%
1.144, 1.144, 1.144, 0.0%, 0.0%
1.0, 1.0, 1.0, 0.0%, 0.0%
1.013, 1.013, 1.013, 0.0%, 0.0%
1.148, 1.148, 1.148, 0.0%, 0.0%
0.969, 0.969, 0.969, 0.0%, 0.0%
1.056, 1.056, 1.056, 0.0%, 0.0%
1.051, 1.051, 1.051, 0.0%, 0.0%
0.91, 0.91, 0.91, 0.0%, 0.0%
1.331, 1.331, 1.331, 0.0%, 0.0%
0.954, 0.954, 0.954, 0.0%, 0.0%
0.889, 0.889, 0.889, 0.0%, 0.0%
1.153, 1.153, 1.153, 0.0%, 0.0%
1.034, 1.034, 1.034, 0.0%, 0.0%
0.937, 0.937, 0.937, 0.0%, 0.0%
0.98, 0.98, 0.98, 0.0%, 0.0%
0.952, 0.952, 0.952, 0.0%, 0.0%
0.941, 0.941, 0.941, 0.0%, 0.0%
1.062, 1.062, 1.062, 0.0%, 0.0%
1.191, 1.191, 1.191, 0.0%, 0.0%
1.144, 1.144, 1.144, 0.0%, 0.0%
0.778, 0.778, 0.778, 0.0%, 0.0%
1.038, 1.038, 1.038, 0.0%, 0.0%
0.934, 0.934, 0.934, 0.0%, 0.0%
1.183, 1.183, 1.183, 0.0%, 0.0%
Average error from real rotations: 0.0%
Average error from expected rotations: 0.0%
