real rot, expected dict rot, actual dict rot, error from real rot, error from expected rot
0.1, 0.844, 1.195, 1095.0%, 41.588%
0.2, 0.844, 1.195, 497.5%, 41.588%
0.3, 0.844, 1.195, 298.333%, 41.588%
0.4, 0.844, 1.195, 198.75%, 41.588%
0.5, 0.844, 1.195, 139.0%, 41.588%
0.6, 0.844, 1.195, 99.167%, 41.588%
0.7, 0.844, 1.195, 70.714%, 41.588%
0.8, 0.844, 1.195, 49.375%, 41.588%
0.9, 0.934, 1.195, 32.778%, 27.944%
1.0, 1.003, 1.195, 19.5%, 19.143%
1.1, 1.099, 1.195, 8.636%, 8.735%
1.2, 1.197, 1.195, 0.417%, 0.167%
1.3, 1.295, 1.195, 8.077%, 7.722%
1.4, 1.403, 1.195, 14.643%, 14.825%
1.5, 1.576, 1.195, 20.333%, 24.175%
1.6, 1.576, 1.195, 25.312%, 24.175%
1.7, 1.576, 1.195, 29.706%, 24.175%
1.8, 1.931, 1.195, 33.611%, 38.115%
1.9, 1.931, 1.195, 37.105%, 38.115%
2.0, 1.931, 1.195, 40.25%, 38.115%
2.1, 1.931, 1.195, 43.095%, 38.115%
2.2, 1.931, 1.195, 45.682%, 38.115%
2.3, 1.931, 1.195, 48.043%, 38.115%
2.4, 1.931, 1.195, 50.208%, 38.115%
2.5, 1.931, 1.195, 52.2%, 38.115%
2.6, 1.931, 1.195, 54.038%, 38.115%
2.7, 1.931, 1.195, 55.741%, 38.115%
2.8, 1.931, 1.195, 57.321%, 38.115%
2.9, 1.931, 1.195, 58.793%, 38.115%
3.0, 1.931, 1.195, 60.167%, 38.115%
3.1, 1.931, 1.195, 61.452%, 38.115%
3.2, 1.931, 1.195, 62.656%, 38.115%
3.3, 1.931, 1.195, 63.788%, 38.115%
3.4, 1.931, 1.195, 64.853%, 38.115%
3.5, 1.931, 1.195, 65.857%, 38.115%
3.6, 1.931, 1.195, 66.806%, 38.115%
3.7, 1.931, 1.195, 67.703%, 38.115%
3.8, 1.931, 1.195, 68.553%, 38.115%
3.9, 1.931, 1.195, 69.359%, 38.115%
4.0, 1.931, 1.195, 70.125%, 38.115%
4.1, 1.931, 1.195, 70.854%, 38.115%
4.2, 1.931, 1.195, 71.548%, 38.115%
4.3, 1.931, 1.195, 72.209%, 38.115%
4.4, 1.931, 1.195, 72.841%, 38.115%
4.5, 1.931, 1.195, 73.444%, 38.115%
4.6, 1.931, 1.195, 74.022%, 38.115%
4.7, 1.931, 1.195, 74.574%, 38.115%
4.8, 1.931, 1.195, 75.104%, 38.115%
4.9, 1.931, 1.195, 75.612%, 38.115%
5.0, 1.931, 1.195, 76.1%, 38.115%
Average error from real rotations: 92.819%
Average error from expected rotations: 34.831%
